RENCANA PEMERIKSAAN LEMBAGA JASA KEUANGAN (LJK) DIVISI PENGAWASAN KANTOR OJK PROVINSI KALIMANTAN SELATAN (KOBM) TAHUN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Nama Bank / Kegiatan Pengawasan,Nama PUJK,Kota/Kab,Sektor,Jenis LJK,Jenis Kegiatan,Kuartal (Q),Bulan,Tanggal Mulai,Tanggal Selesai,Supervisor,Status Kegiatan,Kategori_PUJK,Kategori_Kota,Kategori_Sektor,Kategori_LJK,Kategori_JenisKegiatan,Kategori_Supervisor,Kategori_PUJK2,Kategori_Kota2,Kategori_Sektor2,Kategori_LJK2,Kategori_JenisKegiatan2,Kategori_Supervisor2,Kategori_PUJK3,Kategori_Kota3,Kategori_Sektor3,Kategori_LJK3,Kategori_JenisKegiatan3,Kategori_Supervisor3
21,Penyusunan KYB/FI BPR,Lainnya,Lainnya,Perbankan,BPR,KYBFI,Q1,Januari,26 Januari 2026,30 Januari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Lainnya,Perbankan,BPR,KYBFI,Satrio Aji Nugroho,Lainnya,Lainnya,Perbankan,BPR,KYBFI,Satrio Aji Nugroho,Lainnya,Lainnya,Perbankan,BPR,KYBFI,Satrio Aji Nugroho
22,KYBBPR (Approval),Lainnya,,Perbankan,BPR,KYBFI,Q1,Januari,29 Januari 2026,30 Januari 2026,Kirbani,Selesai,Lainnya,,Perbankan,BPR,KYBFI,Kirbani,Lainnya,,Perbankan,BPR,KYBFI,Kirbani,Lainnya,,Perbankan,BPR,KYBFI,Kirbani
23,LHP PT BPD Kalimantan Selatan,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Penyusunan LHP,Q1,Januari,30 Januari 2026,30 Januari 2026,Kirbani,Selesai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Penyusunan LHP,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Penyusunan LHP,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Penyusunan LHP,Kirbani
24,Prudential Meeting RBB PT BPD Kalimantan Selatan (RBB),PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Q1,Februari,03 Februari 2026,03 Februari 2026,Satrio Aji Nugroho,Selesai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Satrio Aji Nugroho
25,Evaluasi Kinerja se-Kalimantan,Lainnya,Lainnya,,,Evaluasi Kinerja,Q1,Februari,09 Februari 2026,13 Februari 2026,Kirbani,Selesai,,Lainnya,,,Evaluasi Kinerja,Kirbani,Lainnya,Lainnya,,,Evaluasi Kinerja,Kirbani,Lainnya,Lainnya,,,Evaluasi Kinerja,Kirbani
26,KYB Bank Kalsel Semester II Tahun 2025,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,KYBFI,Q1,Februari,09 Februari 2026,13 Februari 2026,Satrio Aji Nugroho,Selesai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,KYBFI,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,KYBFI,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,KYBFI,Satrio Aji Nugroho
27,Pengerjaan TKS BPR,Lainnya,Lainnya,Perbankan,BPR,Pengerjaan TKS,Q1,Februari,09 Februari 2026,13 Februari 2026,Kirbani,Selesai,,Lainnya,Perbankan,BPR,Pengerjaan TKS,Kirbani,,Lainnya,Perbankan,BPR,Pengerjaan TKS,Kirbani,,Lainnya,Perbankan,BPR,Pengerjaan TKS,Kirbani
28,Pengerjaan TKS RBBR BPR,Lainnya,Lainnya,Perbankan,BPR,Pengerjaan TKS,Q1,Februari,09 Februari 2026,20 Februari 2026,Kirbani,Selesai,,,Perbankan,BPR,Pengerjaan TKS,Kirbani,Lainnya,Lainnya,Perbankan,BPR,Pengerjaan TKS,Kirbani,Lainnya,Lainnya,Perbankan,BPR,Pengerjaan TKS,Kirbani
29,Pengerjaan TKS Bank Kalsel Semester II Tahun 2025,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pengerjaan TKS,Q1,Februari,18 Februari 2026,20 Februari 2026,Kirbani,Selesai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pengerjaan TKS,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pengerjaan TKS,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pengerjaan TKS,Kirbani
30,16 Februari 2026 - Cuti Bersama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,17 Februari 2026 - Tahun Baru Imlek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Pemeriksaan Umum PT BPRS Barkah Gemadana,PT BPRS Barkah Gemadana,Kab. Banjar,Perbankan,BPRS,Pemeriksaan Umum,Q1,Februari,23 Februari 2026,27 Februari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Banjar,Perbankan,BPRS,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Banjar,Perbankan,BPRS,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Banjar,Perbankan,BPRS,Pemeriksaan Umum,Satrio Aji Nugroho
33,Pemeriksaan Umum PT BPR Martapura Banjar Sejahtera,PT BPR Martapura Banjar Sejahtera,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Q1,Februari,23 Februari 2026,27 Februari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho
34,LHP BPRS Barkah Gemadana (MIZ) dan BPR MBS (KZ),PT BPRS Barkah Gemadana,Kab. Banjar,Perbankan,BPRS,Penyusunan LHP,Q1,Maret,02 Maret 2026,06 Maret 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Banjar,Perbankan,BPRS,Penyusunan LHP,Satrio Aji Nugroho,Lainnya,Kab. Banjar,Perbankan,BPRS,Penyusunan LHP,Satrio Aji Nugroho,Lainnya,Kab. Banjar,Perbankan,BPRS,Penyusunan LHP,Satrio Aji Nugroho
35,Pemeriksaan Umum PT BPR Azaz Andifa,PT BPR Azaz Andifa,Kab. Batulicin,,BPR,Pemeriksaan Umum,Q1,Maret,02 Maret 2026,06 Maret 2026,Kirbani,Selesai,Lainnya,Kab. Batulicin,,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Batulicin,,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Batulicin,,BPR,Pemeriksaan Umum,Kirbani
36,LHP BPR DPL (FRN),PT BPR Danapermata Lestari,Kota Banjarmasin,Perbankan,BPR,Penyusunan LHP,Q1,Maret,09 Maret 2026,13 Maret 2026,Kirbani,Selesai,Lainnya,Kota Banjarmasin,Perbankan,BPR,Penyusunan LHP,Kirbani,Lainnya,Kota Banjarmasin,Perbankan,BPR,Penyusunan LHP,Kirbani,Lainnya,Kota Banjarmasin,Perbankan,BPR,Penyusunan LHP,Kirbani
37,18 Maret 2026 s.d. 24 Maret 2026 - Cuti Bersama dan Libur Lebaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pemeriksaan Umum PT BPR Tapin Sejahtera,PT BPR Tapin Sejahtera Perseroda,Kab. Tapin,Perbankan,BPR,Pemeriksaan Umum,Q2,April,13 April 2026,17 April 2026,Kirbani,Selesai,Lainnya,Kab. Tapin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Tapin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Tapin,Perbankan,BPR,Pemeriksaan Umum,Kirbani
39,Pemeriksaan Umum PT BPR Tanah Laut,PT BPR Tanah Laut,Kab. Tanah Laut,Perbankan,BPR,Pemeriksaan Umum,Q2,April,13 April 2026,17 April 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Tanah Laut,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Tanah Laut,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Tanah Laut,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho
40,LHP BPR Tapin (DMZ) dan BPR TALA (KZ),PT BPR Tapin Sejahtera Perseroda,Kab. Tapin,Perbankan,BPR,Penyusunan LHP,Q2,April,20 April 2026,24 April 2026,Kirbani,Selesai,Lainnya,Kab. Tapin,Perbankan,BPR,Penyusunan LHP,Kirbani,Lainnya,Kab. Tapin,Perbankan,BPR,Penyusunan LHP,Kirbani,Lainnya,Kab. Tapin,Perbankan,BPR,Penyusunan LHP,Kirbani
41,APERD Dalam Kota,Lainnya,Lainnya,PVML,APERD,Pemeriksaan Umum,Q2,April,20 April 2026,24 April 2026,Kirbani,Selesai,Lainnya,Lainnya,PVML,APERD,Pemeriksaan Umum,Kirbani,Lainnya,Lainnya,PVML,APERD,Pemeriksaan Umum,Kirbani,Lainnya,Lainnya,PVML,APERD,Pemeriksaan Umum,Kirbani
42,LHP APERD (FRN),Lainnya,,PVML,APERD,Penyusunan LHP,Q2,April,20 April 2026,28 April 2026,Kirbani,Selesai,Lainnya,,PVML,APERD,Penyusunan LHP,Kirbani,Lainnya,,PVML,APERD,Penyusunan LHP,Kirbani,Lainnya,,PVML,APERD,Penyusunan LHP,Kirbani
43,Pemeriksaan Umum Dana Pensiun BPD Kalsel,Dana Pensiun PT BPD Kalimantan Selatan,Kota Banjarmasin,PPDP,Dana Pensiun,Pemeriksaan Umum,Q2,April,20 April 2026,28 April 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kota Banjarmasin,PPDP,Dana Pensiun,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kota Banjarmasin,PPDP,Dana Pensiun,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kota Banjarmasin,PPDP,Dana Pensiun,Pemeriksaan Umum,Satrio Aji Nugroho
44,Pemeriksaan Umum PT BPR GSM,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Q2,April,27 April 2026,30 April 2026,Satrio Aji Nugroho,Selesai,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho
45,LHP BPR DAPEN (KRB-PRB),BPR DAPEN,Kab. Kotabaru,PPDP,Dana Pensiun,Penyusunan LHP,Q2,April,28 April 2026,05 Mei 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Kotabaru,PPDP,Dana Pensiun,Penyusunan LHP,Satrio Aji Nugroho,Lainnya,Kab. Kotabaru,PPDP,Dana Pensiun,Penyusunan LHP,Satrio Aji Nugroho,Lainnya,Kab. Kotabaru,PPDP,Dana Pensiun,Penyusunan LHP,Satrio Aji Nugroho
